"YearMonth","StockPack","Count","P.lst.number","Main.Transport.No","Warehouse","Transport.Mode","Carrier","Destination.City","P.lst.Destination.Zip.Code","Destination.Country","Load.Closed.Date","Expected.Time.of.Arrival","POD_ATA","Leadtime..avg.","POD_ATA.Exists","On.Time.Delivery..OTD.","Arrived.at.Harbour.Airport..ATA.","Actual.Delivery.Date..POD."
"NA - NA","Z158737",1,"Z158737","6673348139","38","Land","Sandvik CSRT","HEMLO ON","P0T2E0","Canada","2023-03-08","-","2023-03-14","6","Yes","-","2023-03-14","2023-03-14"
"NA - NA","Z158737",1,"Z158737","6673348139","38","Land","Sandvik CSRT","HEMLO ON","P0T2E0","Canada","2023-03-08","-","2023-03-14","6","Yes","-","2023-03-14","2023-03-14"
"NA - NA","Z158791",6,"Z158791","6673348238","38","Land","Sandvik CSRT","STRATTON ON","P0W 1N0","Canada","2023-03-08","-","2023-03-15","7","Yes","-","2023-03-15","2023-03-15"
"NA - NA","Z158791",6,"Z158791","6673348238","38","Land","Sandvik CSRT","STRATTON ON","P0W 1N0","Canada","2023-03-08","-","2023-03-15","7","Yes","-","2023-03-15","2023-03-15"
"NA - NA","Z158858",1,"Z158858","6325091202","12","Sea","Sandvik CSRT","KENWICK WA","6107","Australia","2023-03-09","-","2023-03-10","1","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z158858",1,"Z158858","6325091202","12","Sea","Sandvik CSRT","KENWICK WA","6107","Australia","2023-03-09","-","2023-03-10","1","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z158892",1,"Z158892","6673344641","23","Land","Sandvik CSRT","AKSDAL","5570","Norway","2023-03-08","-","2023-03-10","1","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z158892",1,"Z158892","6673344641","23","Land","Sandvik CSRT","AKSDAL","5570","Norway","2023-03-08","-","2023-03-10","1","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z158940",8,"Z158940","2655754208","60","Land","Toll Road","ALICE SPRINGS NT","0872","Australia","2023-03-09","2023-03-22","2023-03-26","17","Yes","No","-","2023-03-26"
"NA - NA","Z158943",2,"Z158943","2655754147","60","Land","Toll Road","MOUNT ISA QLD","4825","Australia","2023-03-09","2023-03-21","2023-03-21","12","Yes","Yes","-","2023-03-21"
"NA - NA","Z158944",1,"Z158944","2655754178","60","Land","Toll Road","GARBUTT QLD","4814","Australia","2023-03-09","2023-03-16","2023-03-28","19","Yes","No","-","2023-03-28"
"NA - NA","Z158946",1,"Z158946","2655754482","60","Land","Toll Road","COBAR NSW","2835","Australia","2023-03-09","2023-03-16","2023-03-13","4","Yes","Yes","-","2023-03-13"
"NA - NA","Z158947",1,"Z158947","2655754468","60","Land","Toll Road","DANDENONG VIC","3175","Australia","2023-03-09","2023-03-15","2023-03-14","5","Yes","Yes","-","2023-03-14"
"NA - NA","Z158976",1,"Z158976","6673352958","12","Air","Sandvik CSRT","VESPASIANO","33200-000","Brazil","2023-03-10","-","2023-03-21","11","Yes","-","2023-03-21","2023-03-21"
"NA - NA","Z158976",1,"Z158976","6673352958","12","Air","Sandvik CSRT","VESPASIANO","33200-000","Brazil","2023-03-10","-","2023-03-21","11","Yes","-","2023-03-21","2023-03-21"
"NA - NA","Z159035",2,"Z159035","2655772240","60","Land","Toll Road","MOUNT ISA QLD","4825","Australia","2023-03-09","2023-03-21","2023-03-22","13","Yes","No","-","2023-03-22"
"NA - NA","Z159039",1,"Z159039","6673344526","12","Land","Sandvik CSRT","VENLO","5928LT","Netherlands","2023-03-08","-","2023-03-17","9","Yes","-","2023-03-17","2023-03-17"
"NA - NA","Z159039",1,"Z159039","6673344526","12","Land","Sandvik CSRT","VENLO","5928LT","NetherLands","2023-03-08","-","2023-03-17","9","Yes","-","2023-03-17","2023-03-17"
"NA - NA","Z159051",1,"Z159051","2655772233","60","Land","Toll Road","BROKEN HILL NSW","288 0","Australia","2023-03-09","2023-03-16","2023-03-14","5","Yes","Yes","-","2023-03-14"
"NA - NA","Z159060",7,"Z159060","2655771465","60","Land","Toll Road","ALICE SPRINGS NT","0872","Australia","2023-03-09","2023-03-22","2023-03-21","12","Yes","Yes","-","2023-03-21"
"NA - NA","Z159062",1,"Z159062","8MY3522","20","Air","DGF Singapore","KUMASI","00000","Ghana","2023-03-08","2023-03-17","2023-03-28","20","Yes","No","2023-03-11","2023-03-28"
"NA - NA","Z159066",3,"Z159066","2655771441","60","Land","Toll Road","COBAR NSW","2835","Australia","2023-03-09","2023-03-16","2023-03-13","4","Yes","Yes","-","2023-03-13"
"NA - NA","Z159129",1,"Z159129","6325091202","12","Sea","Sandvik CSRT","HEATHERBRAE NSW","2324","Australia","2023-03-09","-","2023-03-10","1","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z159129",1,"Z159129","6325091202","12","Sea","Sandvik CSRT","HEATHERBRAE NSW","2324","Australia","2023-03-09","-","2023-03-10","1","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z159254",2,"Z159254","6325091202","12","Sea","Sandvik CSRT","KENWICK WA","6107","Australia","2023-03-09","-","2023-03-10","1","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z159254",2,"Z159254","6325091202","12","Sea","Sandvik CSRT","KENWICK WA","6107","Australia","2023-03-09","-","2023-03-10","1","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z159277",2,"Z159277","6325091202","12","Sea","Sandvik CSRT","KENWICK WA","6107","Australia","2023-03-09","-","2023-03-10","1","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z159277",2,"Z159277","6325091202","12","Sea","Sandvik CSRT","KENWICK WA","6107","Australia","2023-03-09","-","2023-03-10","1","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z159495",2,"Z159495","6673352958","12","Air","Sandvik CSRT","CLARKS SUMMIT PA","18411","United States","2023-03-10","-","2023-03-22","12","Yes","-","2023-03-22","2023-03-22"
"NA - NA","Z159495",2,"Z159495","6673352958","12","Air","Sandvik CSRT","CLARKS SUMMIT PA","18411","United States","2023-03-10","-","2023-03-22","12","Yes","-","2023-03-22","2023-03-22"
"NA - NA","Z159508",1,"Z159508","6673344526","12","Land","Sandvik CSRT","ANKARA","06378","Turkey","2023-03-08","-","2023-03-22","14","Yes","-","2023-03-22","2023-03-22"
"NA - NA","Z159508",1,"Z159508","6673344526","12","Land","Sandvik CSRT","ANKARA","06378","Turkey","2023-03-08","-","2023-03-22","14","Yes","-","2023-03-22","2023-03-22"
